,Symbol,Price,Beta,Volume Avrg.,Market Cap,Shares (2019),Last Div,Dividend Yield,DCF Unlevered,DCF Levered,ROE,ROA,Operating Margin,Debt / Equity,P/E,P/B,Shares (2020),Shares ()
156,DTE,118.44,0.615,1090000.0,22820000000.0,185000000.0,3.78,0.0317,-67.54,-112.71,-,-,0.1347,-,-,-,,
157,DUK,83.03,0.276,3570000.0,61310000000.0,729000000.0,3.745,0.0441,-106.8,-212.17,-,-,0.2276,-,-,-,,
158,DRE,37.15,0.598,2060000.0,13940000000.0,367339000.0,0.88,0.0234,129.6,-6.37,0.0855,0.0509,0.5347,0.678,30.41,2.6,,
159,DD,58.57,1.035,4340000.0,42980000000.0,746300000.0,2.16,0.2062,237.25,-141.35,0.0122,0.0072,-0.0031,0.6931,77.61,0.94,,
160,DXC,19.55,2.401,3440000.0,4970000000.0,,0.82,0.0436,-4.05,87.27,-1.122,-0.2065,-0.2591,4.4349,-0.87,0.98,258570000.0,
161,ETFC,52.24,1.243,2130000.0,11650000000.0,237931000.0,0.56,0.0141,557.82,427.22,0.146,0.0155,0.4194,8.3865,10.98,1.6,,
162,EMN,80.0,1.533,1000000.0,10620000000.0,138500000.0,2.48,0.031,29.06,40.17,0.1274,0.0474,0.1208,1.6868,12.27,1.56,,
163,ETN,102.52,1.125,1730000.0,41020000000.0,420800000.0,2.84,0.028,59.19,47.2,0.1375,0.0674,0.1322,1.0399,17.97,2.47,,
164,EBAY,52.77,1.334,9890000.0,36930000000.0,856000000.0,0.56,0.0106,11.97,24.32,0.6223,0.0983,0.2101,5.3324,16.48,10.26,,
165,ECL,203.6,0.928,1280000.0,57610000000.0,292500000.0,1.84,0.0093,77.23,59.36,0.1795,0.0747,0.1344,1.4028,36.68,6.58,,
166,EIX,50.63,0.482,2640000.0,19100000000.0,341000000.0,2.45,0.0475,-179.28,-231.18,0.0829,0.0199,0.1438,3.1547,19.84,1.64,,
167,EW,81.78,0.882,2650000.0,50850000000.0,636606370.0,0.0,-,33.6,44.1,0.2524,0.1614,0.2638,0.564,15.52,3.92,,
168,EA,126.02,0.904,2210000.0,38240000000.0,,0.0,-,94.18,103.32,0.4073,0.2735,0.261,0.4893,11.02,4.49,295000000.0,
169,EMR,67.92,1.486,2770000.0,40590000000.0,620600000.0,1.96,0.0291,22.96,24.67,0.2801,0.1125,0.1652,1.4896,18.42,5.16,,
170,ETR,95.45,0.513,1160000.0,19590000000.0,196999280.0,3.66,0.0389,-499.05,-252.37,0.1214,0.024,0.1278,4.0592,20.19,2.45,,
171,EOG,39.05,1.934,4160000.0,23040000000.0,580777000.0,1.0825,0.026,-41.34,-2.3,0.1264,0.0737,0.2144,0.7155,15.75,1.99,,
172,EFX,162.55,1.14,780000.0,20360000000.0,120900000.0,1.56,0.0096,57.9,61.05,-0.1547,-0.0504,-0.0956,2.0672,-45.95,7.11,,
173,EQIX,747.79,0.425,390000.0,69450000000.0,84679000.0,9.66,0.0132,-750.95,-199.46,0.0574,0.0212,0.2008,1.7109,98.83,5.67,,
174,EQR,54.67,0.585,2620000.0,20450000000.0,386333000.0,2.2425,0.04,-160.48,-7.41,0.0941,0.0458,0.5022,1.0525,31.43,2.96,,
175,ESS,213.21,0.623,440000.0,13840000000.0,65939460.00000001,7.71,0.0362,233.38,18.68,0.0706,0.0346,0.332,1.0425,45.93,3.24,,
176,EL,214.69,0.779,1290000.0,77460000000.0,,1.39,0.0064,78.48,109.64,0.1738,0.0385,0.0424,3.5187,101.54,17.65,366900000.0,
